LSOA code (2011),la19nm,england_imd_rank,england_imd_decile,london_imd_rank,london_imd_decile,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) rank - England,Index of Multiple Deprivation (IMD) decile - England,Index of Multiple Deprivation (IMD) rank rebased for London,Index of Multiple Deprivation (IMD) decile rebased for London,Index of Multiple Deprivation (IMD) quintile rebased for London
E01000807,Bromley,29408,9,4600,10,"32,625",10,24574,9,28900,10,28223,9,22343,9,4300,9,13484,8,31365,10,29200,9,Bromley 022C,E09000006,Bromley,29408.0,9.0,4600.0,10.0,5.0
E01000808,Bromley,28321,9,4475,10,"29,094",10,25101,9,25931,9,21796,7,25107,10,3885,9,24121,10,31094,10,28734,8,Bromley 025A,E09000006,Bromley,28321.0,9.0,4475.0,10.0,5.0
E01000809,Bromley,31318,10,4775,10,"31,287",10,30988,10,31302,10,30334,10,26093,10,4162,9,22689,10,31676,10,27348,8,Bromley 022D,E09000006,Bromley,31318.0,10.0,4775.0,10.0,5.0
E01000810,Bromley,32559,10,4834,10,"31,820",10,32446,10,32498,10,32332,10,27243,10,4662,10,23093,10,32557,10,30633,9,Bromley 025B,E09000006,Bromley,32559.0,10.0,4834.0,10.0,5.0
E01000811,Bromley,30389,10,4703,10,"27,489",10,31263,10,30598,10,30314,10,19913,9,4346,9,17970,9,31130,10,27914,8,Bromley 025C,E09000006,Bromley,30389.0,10.0,4703.0,10.0,5.0
E01000812,Bromley,24258,8,3947,9,"16,842",8,22281,8,19555,8,21230,7,17615,8,3943,9,17979,9,30132,9,26676,8,Bromley 028D,E09000006,Bromley,24258.0,8.0,3947.0,9.0,5.0
E01000813,Bromley,32063,10,4815,10,"31,627",10,28579,10,30905,10,30361,10,24327,10,4805,10,22793,10,31815,10,26390,8,Bromley 025D,E09000006,Bromley,32063.0,10.0,4815.0,10.0,5.0
E01000814,Bromley,31234,10,4773,10,"32,741",10,30699,10,32379,10,32245,10,18961,8,3814,8,21563,10,32527,10,32215,10,Bromley 028E,E09000006,Bromley,31234.0,10.0,4773.0,10.0,5.0
E01000815,Bromley,32451,10,4831,10,"32,750",10,31825,10,32719,10,32590,10,26669,10,4528,10,23064,10,32634,10,30423,9,Bromley 025E,E09000006,Bromley,32451.0,10.0,4831.0,10.0,5.0
E01000816,Bromley,19874,7,3380,7,"26,109",10,14384,6,18903,8,20362,7,10975,5,3129,7,14677,8,28976,9,18125,4,Bromley 040A,E09000006,Bromley,19874.0,7.0,3380.0,7.0,4.0
E01000818,Bromley,20548,7,3480,8,"24,127",9,22683,8,22262,8,22476,8,8073,3,2003,5,16880,9,31275,10,21734,6,Bromley 040B,E09000006,Bromley,20548.0,7.0,3480.0,8.0,4.0
E01000819,Bromley,9866,4,1610,4,"4,288",3,6745,3,7069,3,9650,3,7176,3,2042,5,12117,7,19828,5,16581,4,Bromley 040C,E09000006,Bromley,9866.0,4.0,1610.0,4.0,2.0
E01000820,Bromley,13461,5,2319,5,"13,573",7,14523,6,11662,5,8883,3,7620,3,3940,9,14650,8,17666,4,25186,7,Bromley 008C,E09000006,Bromley,13461.0,5.0,2319.0,5.0,3.0
E01000822,Bromley,20757,7,3508,8,"12,054",7,15509,6,16093,7,19818,7,18064,8,4209,9,14204,8,18773,5,25117,7,Bromley 008D,E09000006,Bromley,20757.0,7.0,3508.0,8.0,4.0
E01000823,Bromley,22675,7,3751,8,"25,540",10,24368,9,23310,9,22919,8,6665,3,3555,8,15130,8,26726,8,31023,9,Bromley 008E,E09000006,Bromley,22675.0,7.0,3751.0,8.0,4.0
E01000824,Bromley,18531,6,3176,7,"8,911",5,17982,7,15600,7,17648,6,11845,5,3485,8,9675,6,22560,6,29539,9,Bromley 008F,E09000006,Bromley,18531.0,6.0,3176.0,7.0,4.0
E01000825,Bromley,16991,6,2932,7,"17,259",8,16318,7,15863,7,14445,5,23156,9,2568,6,7222,4,22388,6,24827,7,Bromley 008G,E09000006,Bromley,16991.0,6.0,2932.0,7.0,4.0
E01000826,Bromley,31197,10,4770,10,"32,533",10,31129,10,32388,10,32157,10,28545,10,3245,7,19405,10,31981,10,31793,10,Bromley 021A,E09000006,Bromley,31197.0,10.0,4770.0,10.0,5.0
E01000827,Bromley,30326,10,4696,10,"29,290",10,21090,8,26147,9,29788,10,28895,10,3840,8,21548,10,32270,10,29253,9,Bromley 021B,E09000006,Bromley,30326.0,10.0,4696.0,10.0,5.0
E01000828,Bromley,24387,8,3970,9,"16,242",8,26184,9,21571,8,21736,7,23672,10,2432,6,17936,9,29956,9,30286,9,Bromley 011E,E09000006,Bromley,24387.0,8.0,3970.0,9.0,5.0
E01000829,Bromley,29353,9,4594,10,"22,305",9,25853,9,26365,9,29083,9,28464,10,3550,8,17483,9,31675,10,29272,9,Bromley 018E,E09000006,Bromley,29353.0,9.0,4594.0,10.0,5.0
E01000830,Bromley,31714,10,4798,10,"32,746",10,32145,10,32782,10,32644,10,26305,10,3765,8,19633,10,32555,10,31840,10,Bromley 021C,E09000006,Bromley,31714.0,10.0,4798.0,10.0,5.0
E01000831,Bromley,26887,9,4296,9,"18,574",8,24808,9,21908,8,24785,8,30191,10,2927,7,17968,9,30665,9,31470,10,Bromley 021D,E09000006,Bromley,26887.0,9.0,4296.0,9.0,5.0
E01000832,Bromley,29475,9,4607,10,"23,242",9,31551,10,29963,10,29611,9,22685,9,2810,6,21729,10,31338,10,30563,9,Bromley 030A,E09000006,Bromley,29475.0,9.0,4607.0,10.0,5.0
E01000833,Bromley,32354,10,4827,10,"31,214",10,31555,10,32238,10,32394,10,30239,10,4320,9,23155,10,32459,10,30458,9,Bromley 021E,E09000006,Bromley,32354.0,10.0,4827.0,10.0,5.0
E01000834,Bromley,30642,10,4725,10,"30,627",10,28611,10,29810,10,30384,10,29703,10,3749,8,19997,10,31798,10,27306,8,Bromley 027E,E09000006,Bromley,30642.0,10.0,4725.0,10.0,5.0
E01000835,Bromley,27931,9,4427,10,"21,241",9,20225,8,21680,8,27253,9,25449,10,4484,10,15534,9,30371,9,25930,7,Bromley 030B,E09000006,Bromley,27931.0,9.0,4427.0,10.0,5.0
E01000836,Bromley,29957,10,4658,10,"30,568",10,30210,10,30560,10,30765,10,29590,10,2785,6,19574,10,31811,10,28469,8,Bromley 030C,E09000006,Bromley,29957.0,10.0,4658.0,10.0,5.0
