FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
2500,E01002625,Hounslow 004B,Hounslow,3.43252431904,3.7820759084,0,4.50335462154,1b,3053.64281045,195595.606750488,3053.64281044584
2501,E01002626,Hounslow 004C,Hounslow,3.79611162813,3.83959241371,2.22658287224,8.06891967162,1b,3781.62485683,350361.626617432,3781.62485682855
2502,E01002627,Hounslow 004D,Hounslow,2.94662017701,3.26220495908,0,4.38669977736,1b,1846.53210762,124542.721153259,1846.53210762439
2503,E01002628,Hounslow 011D,Hounslow,5.20470179808,5.5107868324,1.91188123761,7.26721604655,2,3894.31686632,354418.188644409,3894.31686632314
2504,E01002629,Hounslow 011E,Hounslow,8.64167631439,8.7022763952,3.0007174643,22.6971788696,2,4837.04849348,536750.567604065,4837.04849348269
2505,E01002630,Hounslow 012A,Hounslow,11.0425774417,10.894605258,8.4406989362,14.7732049881,3,2519.7844915,235233.199485779,2519.78449149515
2506,E01002631,Hounslow 004E,Hounslow,3.21371589829,3.8338836509,0,4.56027637656,1b,2610.09134019,207290.797111511,2610.09134018552
2507,E01002632,Hounslow 010C,Hounslow,3.95858007973,5.3149679678,0,7.59810356542,1b,2834.94410272,366931.261543274,2834.94410271724
2508,E01002633,Hounslow 005A,Hounslow,3.38530944282,3.96786672677,0,7.10072521259,1b,6706.75211061,988622.05934906,6706.75211060694
2509,E01002634,Hounslow 005B,Hounslow,4.34459650814,4.2518285204,3.09210254078,6.39986221362,1b,4905.17701348,242093.721534729,4905.17701348036
2510,E01002635,Hounslow 010D,Hounslow,5.59886186658,5.69021264173,0,14.2697834838,2,4133.1962643,530371.307701111,4133.19626430427
2511,E01002636,Hounslow 010E,Hounslow,3.58635804056,3.59195774263,1.75504870887,5.89840095973,1b,2544.79298187,209781.45639801,2544.79298187221
2512,E01002637,Hounslow 005C,Hounslow,4.63870547885,4.44480634738,0,9.0510302866,1b,5037.13707283,693606.018798828,5037.137072826
2513,E01002638,Hounslow 005D,Hounslow,2.64501383932,3.27465367713,0,7.26828206048,1b,5950.5490335,798345.352012634,5950.5490335019
2514,E01002639,Hounslow 012B,Hounslow,15.9310578947,11.245855784,6.66567716885,32.2187444806,4,2462.12219406,191683.32875061,2462.12219406388
2515,E01002640,Hounslow 012C,Hounslow,21.3537284481,20.4999933423,12.0380074558,31.3385697865,5,3221.78150323,223333.534812927,3221.78150323215
2516,E01002641,Hounslow 018A,Hounslow,21.4235334364,19.0503625775,10.9871572503,33.4937907397,5,2706.89980268,204000.07913208,2706.89980268091
2517,E01002643,Hounslow 015B,Hounslow,17.17730881,14.4215350191,5.98763154576,32.44646008,4,3034.68373765,323217.614715576,3034.68373764891
2518,E01002645,Hounslow 015C,Hounslow,23.8044245645,24.4612559495,1.8820902889,39.2350845432,5,3271.09869142,258764.9582901,3271.09869141954
2519,E01002646,Hounslow 017B,Hounslow,9.9545765251,8.79471494813,6.92923116782,19.4597807227,2,2313.03222493,144408.438034058,2313.0322249276
2520,E01002647,Hounslow 021A,Hounslow,7.5567630573,7.79127220842,1.8123549413,10.4298243628,2,2691.66201949,174473.624671936,2691.66201948589
2521,E01002649,Hounslow 018D,Richmond upon Thames,14.1881818051,10.6295838143,7.13924076001,33.3029706315,3,2688.95998309,204689.404296875,2688.95998308999
2522,E01002650,Hounslow 021B,Richmond upon Thames,3.12647422431,3.08555862419,0,10.7968137219,1b,6456.12317294,1707411.14598083,6456.12317294043
2523,E01002651,Hounslow 021C,Hounslow,6.6910220989,6.90690276581,4.37117925657,9.5899238696,2,2489.15924989,131006.772583008,2489.15924989026
2524,E01002652,Hounslow 021D,Richmond upon Thames,5.26965236062,5.32250034605,1.74763602125,8.15890439792,2,2904.25593781,192885.75327301,2904.25593780579
2525,E01002653,Hounslow 019A,Hounslow,4.28864803847,4.53499900054,0,6.72918805071,1b,3029.38596855,214226.294784546,3029.3859685515
2526,E01002654,Hounslow 019B,Richmond upon Thames,3.11829341518,3.65635906981,0,7.4101643107,1b,3874.52691346,427065.817817688,3874.52691345524
2527,E01002655,Hounslow 019C,Richmond upon Thames,6.92931006305,6.90234602568,4.80159742094,10.3470722323,2,3495.84609624,254038.508171082,3495.84609624128
2528,E01002656,Hounslow 019D,Richmond upon Thames,4.3411887383,3.87806837183,2.21715166777,9.67908777003,1b,2365.41957874,205832.443588257,2365.41957873967
2529,E01002657,Hounslow 018E,Richmond upon Thames,6.70067086716,6.53135222197,5.09341528468,11.1275733078,2,2923.07354152,232898.452278137,2923.07354151822
2530,E01002658,Hounslow 015D,Hounslow,6.63569807977,6.26784373829,0,13.4420126997,2,2552.76242387,174810.573860168,2552.76242386889
2531,E01002659,Hounslow 019E,Hounslow,5.26077925998,4.35089362116,0,10.6563021783,2,2661.21220824,284616.183731079,2661.21220823617
2532,E01002660,Hounslow 016C,Hounslow,13.7772426679,15.3669879402,1.73756334278,20.589300128,3,3073.27755951,268243.612586975,3073.2775595089
